"","IMPL_SUCC","CULT_INTG","BUDG_COMP","ORG_IMP","EMPL_SKI","DEPLOY","ACT_INTG","BUSI_IMP","TASK_COMP","STAKEH_ACC","EMPL_SAT","EMPL_BEL","DEC_IMP","LD_SUP","ORG_CUL","EMP_ATT","RES_AVL","LD_INV","PRJ_SEL","DEF_MEA","RES_CHG","LD_STL","ORG_CHR","DAT_QLT","EMP_ENG","TOOL_AP","CONTX_CUS","EFT_REQ","SCOPE","INSTIT","TRA_EDUC","WKF_SKL","EXP_CON","EXT_CON","UND_CNG","COM_KNW","PAT_RES","GOAL_CL","CUS_IDEF","GOAL_AL","SYS_COM","TEAM_ST"
"ORG_CUL",0.6,0.69,0.55,0.66,0.55,0.48,0.64,0.49,0.64,0.67,0.67,0.52,0.68,0.74,1,0.67,0.45,0.61,0.52,0.57,0.47,0.65,0.63,0.37,0.48,0.45,0.44,0.44,0.56,0.69,0.57,0.55,0.37,0.19,0.48,0.37,0.59,0.61,0.42,0.53,0.49,0.63
"EMP_ATT",0.55,0.56,0.44,0.53,0.5,0.34,0.57,0.44,0.53,0.41,0.69,0.73,0.52,0.48,0.67,1,0.33,0.48,0.59,0.47,0.47,0.5,0.56,0.39,0.63,0.37,0.36,0.47,0.4,0.45,0.37,0.41,0.45,0.03,0.44,0.4,0.5,0.54,0.35,0.52,0.32,0.49
"RES_AVL",0.42,0.31,0.42,0.44,0.44,0.48,0.44,0.33,0.42,0.37,0.37,0.32,0.47,0.46,0.45,0.33,1,0.57,0.36,0.46,0.24,0.38,0.41,0.3,0.33,0.4,0.39,0.57,0.59,0.48,0.46,0.56,0.27,0.12,0.22,0.25,0.54,0.36,0.35,0.39,0.5,0.4
"LD_INV",0.58,0.58,0.63,0.55,0.47,0.46,0.43,0.5,0.61,0.45,0.58,0.38,0.5,0.7,0.61,0.48,0.57,1,0.67,0.65,0.34,0.75,0.61,0.47,0.45,0.46,0.47,0.46,0.47,0.46,0.47,0.42,0.46,0.29,0.23,0.21,0.39,0.35,0.37,0.41,0.51,0.56
"PRJ_SEL",0.58,0.53,0.6,0.52,0.48,0.45,0.57,0.51,0.72,0.41,0.57,0.49,0.4,0.5,0.52,0.59,0.36,0.67,1,0.73,0.5,0.59,0.7,0.57,0.46,0.47,0.3,0.41,0.34,0.37,0.33,0.43,0.32,0.33,0.28,0.23,0.42,0.42,0.31,0.46,0.38,0.42
"DEF_MEA",0.55,0.54,0.57,0.57,0.43,0.43,0.52,0.55,0.6,0.54,0.58,0.42,0.46,0.55,0.57,0.47,0.46,0.65,0.73,1,0.51,0.6,0.72,0.71,0.37,0.55,0.43,0.49,0.5,0.4,0.49,0.47,0.37,0.27,0.2,0.28,0.51,0.53,0.48,0.48,0.5,0.47
"RES_CHG",0.45,0.42,0.28,0.48,0.41,0.36,0.47,0.41,0.39,0.44,0.51,0.43,0.44,0.42,0.47,0.47,0.24,0.34,0.5,0.51,1,0.38,0.44,0.35,0.31,0.36,0.36,0.26,0.33,0.37,0.32,0.35,0.23,0.13,0.2,0.34,0.48,0.4,0.29,0.34,0.43,0.45
"LD_STL",0.63,0.69,0.63,0.61,0.56,0.4,0.55,0.5,0.58,0.46,0.59,0.44,0.57,0.72,0.65,0.5,0.38,0.75,0.59,0.6,0.38,1,0.69,0.34,0.53,0.52,0.54,0.53,0.49,0.56,0.52,0.47,0.51,0.39,0.39,0.23,0.38,0.52,0.54,0.58,0.52,0.75
"ORG_CHR",0.49,0.56,0.65,0.59,0.56,0.44,0.57,0.5,0.7,0.5,0.57,0.5,0.5,0.51,0.63,0.56,0.41,0.61,0.7,0.72,0.44,0.69,1,0.51,0.55,0.5,0.45,0.49,0.47,0.47,0.42,0.56,0.48,0.34,0.44,0.3,0.48,0.55,0.51,0.52,0.38,0.62
"DAT_QLT",0.47,0.4,0.45,0.43,0.36,0.22,0.25,0.49,0.5,0.49,0.48,0.3,0.25,0.41,0.37,0.39,0.3,0.47,0.57,0.71,0.35,0.34,0.51,1,0.26,0.47,0.34,0.35,0.3,0.08,0.19,0.25,0.33,0.21,0.06,0.16,0.28,0.22,0.44,0.38,0.3,0.24
"EMP_ENG",0.42,0.4,0.6,0.49,0.52,0.28,0.42,0.36,0.57,0.42,0.54,0.55,0.37,0.4,0.48,0.63,0.33,0.45,0.46,0.37,0.31,0.53,0.55,0.26,1,0.58,0.57,0.55,0.41,0.39,0.26,0.36,0.54,0.2,0.28,0.26,0.27,0.37,0.32,0.63,0.26,0.54
"TOOL_AP",0.48,0.49,0.46,0.55,0.53,0.22,0.38,0.44,0.49,0.58,0.64,0.42,0.43,0.45,0.45,0.37,0.4,0.46,0.47,0.55,0.36,0.52,0.5,0.47,0.58,1,0.78,0.67,0.51,0.32,0.45,0.43,0.51,0.43,0.04,0.22,0.4,0.5,0.57,0.56,0.43,0.62
"CONTX_CUS",0.56,0.47,0.45,0.66,0.58,0.28,0.4,0.48,0.46,0.59,0.57,0.36,0.48,0.44,0.44,0.36,0.39,0.47,0.3,0.43,0.36,0.54,0.45,0.34,0.57,0.78,1,0.65,0.6,0.38,0.48,0.45,0.46,0.37,0.06,0.2,0.37,0.35,0.51,0.49,0.47,0.67
"EFT_REQ",0.49,0.38,0.5,0.52,0.51,0.33,0.45,0.42,0.53,0.43,0.52,0.48,0.41,0.36,0.44,0.47,0.57,0.46,0.41,0.49,0.26,0.53,0.49,0.35,0.55,0.67,0.65,1,0.73,0.43,0.34,0.39,0.41,0.29,0.19,0.19,0.31,0.51,0.52,0.58,0.49,0.57
"SCOPE",0.46,0.43,0.5,0.62,0.55,0.5,0.47,0.51,0.45,0.54,0.47,0.38,0.62,0.43,0.56,0.4,0.59,0.47,0.34,0.5,0.33,0.49,0.47,0.3,0.41,0.51,0.6,0.73,1,0.56,0.5,0.54,0.39,0.3,0.33,0.4,0.44,0.58,0.54,0.52,0.48,0.57
"INSTIT",0.43,0.61,0.38,0.51,0.47,0.6,0.75,0.36,0.47,0.47,0.49,0.49,0.62,0.56,0.69,0.45,0.48,0.46,0.37,0.4,0.37,0.56,0.47,0.08,0.39,0.32,0.38,0.43,0.56,1,0.65,0.59,0.28,0.1,0.49,0.35,0.58,0.56,0.29,0.51,0.37,0.49
"TRA_EDUC",0.45,0.54,0.32,0.49,0.48,0.38,0.54,0.3,0.34,0.5,0.47,0.35,0.62,0.5,0.57,0.37,0.46,0.47,0.33,0.49,0.32,0.52,0.42,0.19,0.26,0.45,0.48,0.34,0.5,0.65,1,0.68,0.45,0.2,0.21,0.46,0.65,0.59,0.42,0.38,0.42,0.45
"WKF_SKL",0.47,0.53,0.47,0.49,0.47,0.58,0.67,0.35,0.5,0.41,0.36,0.31,0.52,0.44,0.55,0.41,0.56,0.42,0.43,0.47,0.35,0.47,0.56,0.25,0.36,0.43,0.45,0.39,0.54,0.59,0.68,1,0.36,0.28,0.23,0.34,0.53,0.45,0.37,0.43,0.48,0.5
"EXP_CON",0.41,0.46,0.42,0.36,0.38,0.17,0.33,0.32,0.32,0.43,0.54,0.49,0.43,0.39,0.37,0.45,0.27,0.46,0.32,0.37,0.23,0.51,0.48,0.33,0.54,0.51,0.46,0.41,0.39,0.28,0.45,0.36,1,0.26,0.17,0.39,0.26,0.41,0.47,0.52,0.15,0.53
"EXT_CON",0.24,0.2,0.26,0.21,0.21,0.12,0.17,0.28,0.26,0.22,0.22,0.13,0.21,0.22,0.19,0.03,0.12,0.29,0.33,0.27,0.13,0.39,0.34,0.21,0.2,0.43,0.37,0.29,0.3,0.1,0.2,0.28,0.26,1,-0.03,-0.05,0.08,0.17,0.33,0.3,0.27,0.37
"UND_CNG",0.19,0.27,0.36,0.33,0.32,0.3,0.3,0.17,0.3,0.27,0.37,0.36,0.39,0.28,0.48,0.44,0.22,0.23,0.28,0.2,0.2,0.39,0.44,0.06,0.28,0.04,0.06,0.19,0.33,0.49,0.21,0.23,0.17,-0.03,1,0.4,0.36,0.52,0.41,0.47,0.11,0.36
"COM_KNW",0.21,0.27,0.19,0.36,0.28,0.29,0.29,0.19,0.19,0.39,0.46,0.28,0.5,0.22,0.37,0.4,0.25,0.21,0.23,0.28,0.34,0.23,0.3,0.16,0.26,0.22,0.2,0.19,0.4,0.35,0.46,0.34,0.39,-0.05,0.4,1,0.43,0.55,0.27,0.4,0.26,0.35
"PAT_RES",0.39,0.43,0.24,0.59,0.44,0.28,0.54,0.36,0.36,0.48,0.54,0.43,0.57,0.34,0.59,0.5,0.54,0.39,0.42,0.51,0.48,0.38,0.48,0.28,0.27,0.4,0.37,0.31,0.44,0.58,0.65,0.53,0.26,0.08,0.36,0.43,1,0.67,0.38,0.37,0.36,0.41
"GOAL_CL",0.37,0.5,0.34,0.54,0.47,0.34,0.51,0.4,0.4,0.53,0.61,0.51,0.62,0.42,0.61,0.54,0.36,0.35,0.42,0.53,0.4,0.52,0.55,0.22,0.37,0.5,0.35,0.51,0.58,0.56,0.59,0.45,0.41,0.17,0.52,0.55,0.67,1,0.53,0.6,0.38,0.53
"CUS_IDEF",0.37,0.46,0.45,0.56,0.5,0.14,0.3,0.45,0.4,0.46,0.51,0.26,0.45,0.37,0.42,0.35,0.35,0.37,0.31,0.48,0.29,0.54,0.51,0.44,0.32,0.57,0.51,0.52,0.54,0.29,0.42,0.37,0.47,0.33,0.41,0.27,0.38,0.53,1,0.53,0.4,0.59
"GOAL_AL",0.52,0.5,0.64,0.57,0.56,0.34,0.52,0.51,0.53,0.53,0.62,0.51,0.47,0.47,0.53,0.52,0.39,0.41,0.46,0.48,0.34,0.58,0.52,0.38,0.63,0.56,0.49,0.58,0.52,0.51,0.38,0.43,0.52,0.3,0.47,0.4,0.37,0.6,0.53,1,0.38,0.6
"SYS_COM",0.53,0.43,0.48,0.52,0.39,0.44,0.37,0.41,0.52,0.43,0.4,0.2,0.45,0.44,0.49,0.32,0.5,0.51,0.38,0.5,0.43,0.52,0.38,0.3,0.26,0.43,0.47,0.49,0.48,0.37,0.42,0.48,0.15,0.27,0.11,0.26,0.36,0.38,0.4,0.38,1,0.62
"TEAM_ST",0.6,0.6,0.54,0.62,0.56,0.37,0.47,0.47,0.53,0.55,0.65,0.43,0.56,0.58,0.63,0.49,0.4,0.56,0.42,0.47,0.45,0.75,0.62,0.24,0.54,0.62,0.67,0.57,0.57,0.49,0.45,0.5,0.53,0.37,0.36,0.35,0.41,0.53,0.59,0.6,0.62,1
